Date,Open,High,Low,Close,Volume
1986-01-02,93.2018,93.2018,93.2018,93.2018,0
1986-01-03,94.6134,94.6134,94.6134,94.6134,0
1986-01-06,94.2512,94.2512,94.2512,94.2512,0
1986-01-07,95.1782,95.1782,95.1782,95.1782,0
1986-01-08,94.6134,94.6134,94.6134,94.6134,0
1986-01-09,93.1655,93.1655,93.1655,93.1655,0
1986-01-10,95.1782,95.1782,95.1782,95.1782,0
1986-01-13,94.6134,94.6134,94.6134,94.6134,0
1986-01-14,96.9941,96.9941,96.9941,96.9941,0
1986-01-15,101.543,101.543,101.543,101.543,0
1986-01-16,102.461,102.461,102.461,102.461,0
1986-01-17,101.543,101.543,101.543,101.543,0
1986-01-20,101.008,101.008,101.008,101.008,0
1986-01-21,100.081,100.081,100.081,100.081,0
1986-01-22,101.543,101.543,101.543,101.543,0
1986-01-23,101.008,101.008,101.008,101.008,0
1986-01-24,103.388,103.388,103.388,103.388,0
1986-01-27,105.184,105.184,105.184,105.184,0
1986-01-28,104.296,104.296,104.296,104.296,0
1986-01-29,103.732,103.732,103.732,103.732,0
1986-01-30,104.296,104.296,104.296,104.296,0
1986-01-31,104.649,104.649,104.649,104.649,0
1986-02-03,103.732,103.732,103.732,103.732,0
1986-02-04,102.824,102.824,102.824,102.824,0
1986-02-07,103.388,103.388,103.388,103.388,0
1986-02-10,105.528,105.528,105.528,105.528,0
1986-02-12,105.184,105.184,105.184,105.184,0
1986-02-13,104.649,104.649,104.649,104.649,0
1986-02-14,103.732,103.732,103.732,103.732,0
1986-02-17,102.461,102.461,102.461,102.461,0
1986-02-18,101.543,101.543,101.543,101.543,0
1986-02-19,102.824,102.824,102.824,102.824,0
1986-02-20,106.083,106.083,106.083,106.083,0
1986-02-21,107.918,107.918,107.918,107.918,0
1986-02-24,111.932,111.932,111.932,111.932,0
1986-02-25,113.747,113.747,113.747,113.747,0
1986-02-26,113.403,113.403,113.403,113.403,0
1986-02-28,112.486,112.486,112.486,112.486,0
1986-03-03,111.932,111.932,111.932,111.932,0
1986-03-04,111.568,111.568,111.568,111.568,0
1986-03-05,115.219,115.219,115.219,115.219,0
1986-03-06,113.747,113.747,113.747,113.747,0
1986-03-07,112.486,112.486,112.486,112.486,0
1986-03-10,111.005,111.005,111.005,111.005,0
1986-03-12,111.932,111.932,111.932,111.932,0
1986-03-13,114.675,114.675,114.675,114.675,0
1986-03-14,115.219,115.219,115.219,115.219,0
