Date,Open,High,Low,Close,Volume
2025-05-22,66,67.15,66,67.15,0
2025-05-23,67,67.2,64.65,65.5,291
2025-05-26,62.75,62.75,62.75,62.75,0
2025-05-27,62.7,63.7,62.7,63.7,0
2025-05-28,63.55,63.55,63.4,63.4,0
2025-05-29,64.7,64.7,62.85,62.85,43
2025-05-30,63.05,63.15,63.05,63.15,0
2025-06-02,62.85,62.85,61.95,61.95,391
2025-06-03,61.9,62.3,61.9,62.3,0
2025-06-04,62.55,62.55,61.05,61.05,0
2025-06-05,61.05,61.05,60.4,60.4,16
2025-06-06,60.55,61.2,60.05,60.05,50
2025-06-09,60.55,61.6,60.55,61.6,0
2025-06-10,61.5,62.85,61.5,62.85,75
2025-06-11,62.8,63.65,61.15,61.15,375
2025-06-12,60.95,61.05,60.6,61.05,925
2025-06-13,60.15,60.15,60.05,60.05,0
2025-06-16,60,60.65,59.9,59.9,0
2025-06-17,59.7,60.75,59.7,59.9,1000
2025-06-18,60.2,60.2,60.2,60.2,0
2025-06-19,59.05,59.05,58.8,58.8,0
2025-06-20,59.45,59.45,59.05,59.05,0
2025-06-23,58.95,58.95,58.95,58.95,0
2025-06-24,60.3,61.45,60.3,61.45,0
2025-06-25,62.55,62.55,62.55,62.55,0
2025-06-26,61.4,62.95,61.4,62.95,20
2025-06-27,63.1,63.85,63.1,63.85,0
2025-06-30,63.6,63.6,63.6,63.6,0
2025-07-01,62.45,63.65,62.45,63.65,0
2025-07-02,64.2,65.9,64.2,65.5,2705
2025-07-03,65.65,65.65,62.6,62.6,20
2025-07-04,62.4,62.4,61.5,61.5,0
2025-07-07,61.85,61.85,61.85,61.85,0
2025-07-08,62.65,64.65,61.65,64.3,378
2025-07-09,64.4,65.05,64.4,65.05,150
2025-07-10,64.9,66.35,64.8,66.35,1710
2025-07-11,65.35,65.35,63.45,63.45,0
2025-07-14,63.55,63.55,63.2,63.2,200
2025-07-15,63.4,64.5,63.4,63.7,78
2025-07-16,63.55,63.55,63.1,63.1,1
2025-07-17,62.8,62.8,62.4,62.4,0
2025-07-18,62.65,62.65,62.65,62.65,0
2025-07-21,62.5,64.05,62.5,63.3,29
2025-07-22,63.25,63.3,62.9,63.3,30
2025-07-23,63.9,65.25,63.9,65.2,200
2025-07-24,65.3,65.3,64.4,64.4,0
2025-07-25,64.35,64.8,64.25,64.8,26
2025-07-28,65.45,66.3,63.9,64.15,1800
2025-07-29,64.45,64.45,62.8,62.8,0
2025-07-30,62.9,62.9,61.5,61.5,50
2025-07-31,61.7,61.7,59.7,59.7,0
2025-08-01,59.4,59.4,59.4,59.4,0
2025-08-04,58.6,58.6,57.2,57.2,200
2025-08-05,57.4,58.55,57.4,58.45,0
2025-08-06,58.8,59.65,58.8,59.65,0
2025-08-07,59.95,61.05,59.95,61.05,0
2025-08-08,61,62.3,61,62.3,0
2025-08-11,62.4,62.4,60.6,60.6,0
2025-08-12,60.8,60.8,60.55,60.55,0
2025-08-13,60.65,60.65,60.6,60.6,0
2025-08-14,60.45,60.95,60.45,60.95,20
2025-08-15,61.1,61.75,61.1,61.75,0
2025-08-18,61.6,61.6,61,61,0
2025-08-19,60.95,63.1,60.95,63.1,0
2025-08-20,63.1,63.2,63.1,63.2,0
2025-08-21,63.15,63.15,62.6,62.6,0
2025-08-22,62.5,63.7,62.5,63.7,0
2025-08-25,63.6,63.6,63.1,63.1,0
2025-08-26,62.65,62.65,62.1,62.1,0
2025-08-27,62.15,62.15,61.2,61.2,0
2025-08-28,61.2,61.2,61.1,61.1,0
2025-08-29,61.1,61.1,60.45,60.45,0
2025-09-01,61,61,60,60,560
2025-09-02,59.9,59.9,59.6,59.6,0
2025-09-03,59.5,59.5,58.65,58.65,0
2025-09-04,58.6,58.6,57.15,57.15,0
2025-09-05,57.3,57.8,57.3,57.8,20
2025-09-08,57.4,58.1,57.4,58.1,0
2025-09-09,58,58.55,58,58.55,0
2025-09-10,58.7,58.7,58.7,58.7,0
2025-09-11,57.8,58.4,57.8,58.4,0
2025-09-12,58.4,58.85,58.4,58.85,0
2025-09-15,59.05,59.05,58.9,58.9,0
2025-09-16,59,59,58.6,58.6,0
2025-09-17,58.65,58.65,57.85,58.05,132
2025-09-18,58.3,58.3,57.65,57.65,0
2025-09-19,57.65,57.65,56.4,56.4,0
2025-09-22,56.4,56.4,55.15,55.15,90
2025-09-23,55.15,55.4,55.15,55.4,0
2025-09-24,55.55,55.55,55.15,55.15,100
2025-09-25,54.35,54.4,54.35,54.4,0
2025-09-26,54.25,54.35,53.75,54.1,360
2025-09-29,54.3,54.65,54.15,54.15,20
2025-09-30,54.1,54.1,53.5,53.5,0
2025-10-01,53.4,53.75,53.4,53.75,0
