Date,Open,High,Low,Close,Volume
2007-01-02,20.9763,21.0689,20.7537,20.7537,4519565
2007-01-03,20.8168,20.9911,20.6868,20.8834,6159942
2007-01-04,20.802,20.802,20.4161,20.4161,6977400
2007-01-05,20.4569,21.1913,20.0897,20.9205,6915442
2007-01-08,21.0689,21.2322,20.6646,20.7686,5675568
2007-01-09,20.8834,20.8834,20.4199,20.4199,5801412
2007-01-10,20.2158,20.2158,19.8857,20.0823,8493341
2007-01-15,20.2158,20.7723,20.1786,20.6275,4888451
2007-01-16,20.6313,20.7165,20.557,20.6236,3475915
2007-01-17,20.531,20.776,20.531,20.6053,5154828
2007-01-18,20.724,21.028,20.6424,20.7165,5803254
2007-01-19,20.7686,21.0504,20.7165,20.8464,5166651
2007-01-22,20.9021,20.9354,20.5681,20.5681,4561716
2007-01-23,20.5459,20.6572,20.4383,20.6572,5950351
2007-01-24,20.6236,20.839,20.5868,20.6943,5943960
2007-01-25,20.6607,20.724,20.5087,20.62,6312688
2007-01-26,20.4755,20.8427,20.4644,20.6794,5558645
2007-01-29,20.6607,21.0985,20.6053,20.9168,4161597
2007-01-30,20.8797,21.5067,20.8242,21.3286,6069553
2007-01-31,21.2915,21.4584,21.0392,21.0689,4870299
2007-02-01,21.2099,21.2915,21.0095,21.132,4522735
2007-02-02,21.1358,21.1989,20.9688,21.0689,4076467
2007-02-05,21.0207,21.2507,20.965,21.0874,4597788
2007-02-06,21.106,21.1802,20.9465,21.0615,5173768
2007-02-07,21.0689,21.0949,20.9021,20.9948,5967859
2007-02-08,20.9576,21.2359,20.8316,20.9576,6620055
2007-02-09,21.0874,21.4028,20.9316,21.3471,7404371
2007-02-12,21.2953,21.4028,21.1505,21.273,7771526
2007-02-13,21.31,21.6551,21.31,21.5512,8208292
2007-02-14,21.603,22.2188,21.5141,22.2188,12016672
2007-02-15,22.1632,22.3968,22.0333,22.3301,8455333
2007-02-16,22.3673,22.3673,22.0111,22.1929,9427208
2007-02-19,22.126,22.4191,22.0183,22.3115,8029392
2007-02-20,22.7308,24.1107,22.6121,24.1107,19983524
2007-02-21,24.0624,24.333,23.6024,24.2923,12315906
2007-02-22,24.2404,24.4444,24.0548,24.2961,15932534
2007-02-26,24.4853,24.7523,24.3703,24.6113,18834736
2007-02-27,24.3703,24.5593,23.8323,23.9102,19086511
2007-02-28,23.4615,25.2235,23.009,24.7226,23542644
2007-03-01,24.7078,25.0194,23.966,24.3812,20701729
2007-03-02,24.3703,24.6151,24.0809,24.3888,25031572
2007-03-05,23.9437,23.9956,23.5802,23.6877,34192450
2007-03-06,23.7582,24.5074,23.2833,24.4073,33623869
2007-03-07,24.3999,25.546,24.359,25.1864,8649240
2007-03-08,25.5015,26.4214,25.4088,26.3732,10840852
2007-03-09,26.3361,27.3413,26.2954,27.2783,11768720
2007-03-12,27.4414,27.6715,26.9296,27.5417,15115233
2007-03-13,27.7086,27.7086,27.0817,27.2486,12543714
2007-03-14,26.5958,27.3674,26.5625,26.9667,15231565
2007-03-15,27.4267,27.5045,26.9557,27.3747,15187048
2007-03-16,27.3193,27.9572,27.2338,27.7642,16714402
2007-03-19,27.82,28.2279,27.6754,27.7384,11323557
2007-03-20,28.2836,28.5617,27.8495,28.1724,8965635
2007-03-21,28.1537,29.259,28.15,28.5617,13681342
