Date,Open,High,Low,Close,Volume
2025-05-02,634,634,623.2,623.2,51
2025-05-05,629.4,634.8,629.4,634.8,79
2025-05-06,635,636.6,632.8,636.6,164
2025-05-07,635,635.6,633.4,634.8,299
2025-05-08,629.8,629.8,625.6,627.4,23
2025-05-09,616.2,620,616,619.4,216
2025-05-12,611.4,613.4,611.4,613.4,42
2025-05-13,612.2,614.4,606.6,606.6,32
2025-05-14,607.2,613.6,607,613.6,121
2025-05-15,619.4,619.4,619.4,619.4,3
2025-05-16,626.2,626.2,620.6,620.6,48
2025-05-19,622.2,626.2,622,626.2,95
2025-05-20,623.6,626.4,623.6,626.4,15
2025-05-21,624.8,626.4,624.8,626.4,12
2025-05-22,622.4,624.4,620.8,624.4,102
2025-05-23,627.2,627.2,621.4,621.4,12
2025-05-27,625.4,625.4,622.6,622.6,36
2025-05-28,620.6,620.6,616.8,616.8,59
2025-05-29,624.8,625,616.6,616.6,25
2025-05-30,620.6,620.6,617.4,617.4,109
2025-06-02,618.2,620.4,618,620.4,35
2025-06-03,616.4,617,616.4,617,0
2025-06-04,620.6,622,619.6,622,465
2025-06-05,619.6,620.2,618.8,618.8,72
2025-06-06,617.8,621.2,616.8,621.2,107
2025-06-09,624.8,624.8,609.4,609.4,2
2025-06-10,615.4,615.8,610,610,43
2025-06-11,612,612,608.6,608.6,0
2025-06-12,603,603,596.8,599,82
2025-06-13,596.2,600.8,596.2,599.8,65
2025-06-16,598.8,600.2,598.8,598.8,162
2025-06-17,591.8,596,591.8,593.4,242
2025-06-18,596.8,596.8,588.2,588.2,53
2025-06-19,587.4,587.4,586.4,586.4,29
2025-06-20,591.4,591.4,590.4,590.4,38
2025-06-23,587.4,589.8,587,588.6,103
2025-06-24,593.8,593.8,592.4,592.4,1
2025-06-25,596,596,592,592.2,6
2025-06-26,592.8,593.2,587.2,591.6,26
2025-06-27,593.6,594,591.2,593.8,210
2025-06-30,594.6,594.6,594.6,594.6,0
2025-07-01,598,598,593.4,593.4,0
2025-07-02,586,586,582.8,582.8,133
2025-07-03,589.8,592,589.8,592,0
2025-07-04,591.2,591.4,589.4,591.4,36
2025-07-07,591.2,594.2,590.2,592.2,22
2025-07-08,592,592,590.4,590.4,31
2025-07-09,593.8,598.8,592.4,598.8,730
2025-07-10,599,599,595.4,595.6,21
2025-07-11,596.2,596.2,593,594.2,84
2025-07-14,593,594.8,590,594.8,57
2025-07-15,595.8,595.8,590.4,590.4,3
2025-07-16,596.6,596.6,596.6,596.6,0
2025-07-17,599.4,599.6,595.2,595.2,185
2025-07-18,599.2,600.4,599.2,600.4,5
2025-07-21,598.6,600.2,597.8,600.2,167
2025-07-22,599.6,599.6,596.4,596.4,0
2025-07-23,602.4,605,599.4,600.8,65
2025-07-24,605.8,605.8,596,596,90
2025-07-25,595.4,596.2,595.4,596.2,13
2025-07-28,598.4,599.2,593.4,593.4,141
2025-07-29,600.2,600.2,598.6,598.6,0
2025-07-30,598.4,598.4,593.4,593.4,155
2025-07-31,599.8,599.8,598.6,598.6,0
2025-08-01,591.6,597.8,590,597.8,255
2025-08-04,586.4,586.4,580,580,282
2025-08-05,606.4,611.6,606,611.6,229
2025-08-06,610.6,614.2,610.6,614.2,24
2025-08-07,609.6,615,609.6,615,0
2025-08-08,608.4,610,606.8,608.8,515
2025-08-11,611.6,611.6,607.4,607.4,36
2025-08-12,607.6,611.4,607.6,607.6,157
2025-08-13,610.2,617.4,610.2,617.4,5
2025-08-14,628,628,625,627.4,45
2025-08-15,629.4,629.4,626.2,626.8,24
2025-08-18,623.8,626,623.6,625.6,31
2025-08-19,624.4,624.4,624.4,624.4,0
2025-08-20,627.4,636.6,627.4,636.6,31
2025-08-21,636.6,636.6,636.4,636.4,15
2025-08-22,631.8,631.8,631.8,631.8,0
2025-08-25,629.4,629.8,626.4,627.6,53
2025-08-26,619.8,621.8,619.6,620.4,49
2025-08-27,621.4,621.4,621.4,621.4,0
2025-08-28,624,624,618.4,618.4,88
2025-08-29,618.4,625.2,618.4,625.2,19
2025-09-01,623.4,623.4,615.6,615.6,179
2025-09-02,617,617,611.4,612,162
2025-09-03,608.2,608.2,598.2,607.4,653
2025-09-05,616.2,616.2,614.8,614.8,0
2025-09-08,615.4,615.4,611.6,615,181
2025-09-09,618.6,618.6,617.2,617.2,0
2025-09-10,619,619,613.4,613.4,11
2025-09-11,613.6,615.2,613.6,615.2,8
2025-09-12,613.6,613.6,611.6,611.6,0
2025-09-15,614.2,614.2,608.6,609.6,4
2025-09-17,595,598.2,594.4,598.2,93
2025-09-18,600.6,600.8,600.6,600.8,0
2025-09-19,601.4,603,601.4,602.4,51
2025-09-22,600,601.6,599,599,6
2025-09-23,601.4,601.4,598.6,598.6,13
2025-09-24,595.2,595.2,594.6,594.6,0
2025-09-25,590.2,593.6,590.2,592.6,75
2025-09-29,602.4,603.4,601.8,601.8,2
2025-09-30,603.2,606.2,603.2,606.2,0
2025-10-01,606.2,608.6,605.8,608.6,37
2025-10-02,609.2,612.4,607.8,607.8,138
2025-10-03,608,608.6,608,608.6,14
2025-10-06,609.8,616.6,609.8,616.6,329
2025-10-07,618.2,619.4,617.6,617.8,21
2025-10-08,618.6,624.4,618.6,622.8,158
2025-10-09,619.8,619.8,616,616,0
2025-10-10,618.8,618.8,615.8,615.8,64
2025-10-13,615.8,615.8,611.2,611.2,63
2025-10-14,611,621.4,611,621.4,39
2025-10-15,621.4,622.6,618.2,619.8,122
2025-10-16,620,620.4,602,602,240
2025-10-17,597.4,601.4,597.4,601.4,28
2025-10-20,603.6,603.6,601,601,16
2025-10-21,604.2,607.8,604.2,607.8,0
2025-10-22,611.2,612.8,610,612.6,45
2025-10-23,612.6,615,612.6,615,43
2025-10-24,615,615,612,614.6,55
2025-10-27,614.6,620,614.6,620,91
2025-10-28,619.6,619.6,617.4,619.6,157
2025-10-29,615,615.2,611.2,612.8,69
2025-10-30,611.8,613.6,611.8,613.6,15
2025-10-31,609,609,603.4,604,55
2025-11-03,600.6,601.2,596.4,596.4,85
2025-11-04,596.4,597,593,597,553
2025-11-05,606.6,609.4,605.2,609.4,26
2025-11-06,602.4,605.8,602.4,605.8,54
2025-11-07,609,609,600.8,608.2,135
2025-11-10,605.6,612,605.6,612,86
2025-11-11,619.4,622.8,619.4,620.6,51
2025-11-12,622.6,625.4,622.6,625.2,556
2025-11-13,627.6,628.8,626,627.6,30
2025-11-14,624.6,627.8,621,621,55
2025-11-17,621.2,621.6,615,615.4,101
2025-11-18,604.8,605.8,599.6,602.8,155
2025-11-19,601.2,601.4,596,596,43
2025-11-20,601.4,602.6,600.8,600.8,94
2025-11-21,602.8,605.2,602.8,605.2,35
2025-11-24,606,606,602,605.8,14
2025-11-25,604,608.6,604,608.6,370
2025-11-26,609.4,613.6,603,603,47
2025-11-27,616.4,616.4,615.8,615.8,80
2025-11-28,616.8,619.2,615.8,619.2,81
2025-12-01,619.4,619.4,615.2,618,21
2025-12-02,618.4,620.4,618.4,620.4,9
2025-12-03,615.8,616.8,611.6,611.6,19
2025-12-04,611.2,614.2,611.2,612.4,15
2025-12-05,616.8,616.8,614.4,614.4,0
2025-12-08,612.8,613.4,612.8,613.4,28
2025-12-09,623,623,620,621.6,114
2025-12-10,618.4,620.2,617,620.2,25
2025-12-11,625.4,626.2,625.4,625.4,16
2025-12-12,629.6,633.2,623.8,623.8,119
2025-12-15,628.2,632.8,628.2,631.8,228
2025-12-16,633.8,633.8,629.4,630.6,45
2025-12-17,633,634.4,633,634.4,111
2025-12-18,631.8,637.2,631.8,637.2,21
2025-12-19,640,643.2,638.4,641,117
2025-12-22,638.8,641,638.8,640.8,153
2025-12-23,644.8,647.8,644.4,647.4,106
